,State,2015,2016,2017,2018,2019
0,Alabama,"4,853,160","4,864,745","4,875,120","4,887,871",4898246
1,Alaska,"737,547","741,504","739,786","737,438",735720
2,Arizona,"6,833,596","6,945,452","7,048,876","7,171,646",7275070
3,Arkansas,"2,978,407","2,990,410","3,002,997","3,013,825",3026412
4,California,"38,953,142","39,209,127","39,399,349","39,557,045",39747267
5,Colorado,"5,452,107","5,540,921","5,615,902","5,695,564",5770545
6,Connecticut,"3,587,509","3,578,674","3,573,880","3,572,665",3567871
7,Delaware,"941,413","949,216","957,078","967,171",975033
8,District of Columbia,"675,254","686,575","695,691","702,455",711571
9,Florida,"20,224,249","20,629,982","20,976,812","21,299,325",21646155
10,Georgia,"10,181,111","10,304,763","10,413,055","10,519,475",10627767
11,Hawaii,"1,422,484","1,428,105","1,424,203","1,420,491",1416589
12,Idaho,"1,651,523","1,682,930","1,718,904","1,754,208",1790182
13,Illinois,"12,864,342","12,826,895","12,786,196","12,741,080",12700381
14,Indiana,"6,608,296","6,633,344","6,660,082","6,691,878",6718616
15,Iowa,"3,121,460","3,131,785","3,143,637","3,156,145",3167997
16,Kansas,"2,909,502","2,911,263","2,910,689","2,911,505",2910931
17,Kentucky,"4,425,999","4,438,229","4,453,874","4,468,402",4484047
18,Louisiana,"4,664,851","4,678,215","4,670,818","4,659,978",4652581
19,Maine,"1,328,484","1,331,370","1,335,063","1,338,404",1342097
20,Maryland,"5,986,717","6,004,692","6,024,891","6,042,718",6062917
21,Massachusetts,"6,795,891","6,826,022","6,863,246","6,902,149",6939373
22,Michigan,"9,932,573","9,951,890","9,976,447","9,995,915",10020472
23,Minnesota,"5,482,503","5,523,409","5,568,155","5,611,179",5655925
24,Mississippi,"2,988,693","2,988,298","2,989,663","2,986,530",2987895
25,Missouri,"6,071,745","6,087,203","6,108,612","6,126,452",6147861
26,Montana,"1,030,503","1,040,863","1,053,090","1,062,305",1074532
27,Nebraska,"1,891,507","1,905,924","1,917,575","1,929,268",1940919
28,Nevada,"2,868,666","2,919,772","2,972,405","3,034,392",3087025
29,New Hampshire,"1,336,294","1,342,373","1,349,767","1,356,458",1363852
30,New Jersey,"8,870,869","8,874,516","8,888,543","8,908,520",8922547
31,New Mexico,"2,090,211","2,092,789","2,093,395","2,095,428",2096034
32,New York,"19,661,411","19,641,589","19,590,719","19,542,209",19491339
33,North Carolina,"10,033,079","10,156,679","10,270,800","10,383,620",10497741
34,North Dakota,"754,022","754,353","755,176","760,077",760900
35,Ohio,"11,617,850","11,635,003","11,664,129","11,689,442",11718568
36,Oklahoma,"3,909,831","3,926,769","3,932,640","3,943,079",3948950
37,Oregon,"4,016,918","4,091,404","4,146,592","4,190,713",4245901
38,Pennsylvania,"12,785,759","12,783,538","12,790,447","12,807,060",12813969
39,Puerto Rico,,,,,3113659
40,Rhode Island,"1,056,173","1,057,063","1,056,486","1,057,315",1056738
41,South Carolina,"4,892,253","4,958,235","5,021,219","5,084,127",5147111
42,South Dakota,"853,933","862,890","873,286","882,235",892631
43,Tennessee,"6,590,808","6,645,011","6,708,794","6,770,010",6833793
44,Texas,"27,486,814","27,937,492","28,322,717","28,701,845",29087070
45,Utah,"2,982,497","3,042,613","3,103,118","3,161,105",3221610
46,Vermont,"625,197","623,644","624,525","626,299",627180
47,Virginia,"8,362,907","8,410,946","8,465,207","8,517,685",8571946
48,Washington,"7,163,543","7,294,680","7,425,432","7,535,591",7666343
49,West Virginia,"1,841,996","1,830,929","1,817,048","1,805,832",1791951
50,Wisconsin,"5,761,406","5,772,958","5,792,051","5,813,568",5832661
51,Wyoming,"585,668","584,290","578,934","577,737",572381
